Div,Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomePoint,AwayPoint,HomeDiff,AwayDiff,HomeRank,AwayRank,HomeGF,HomeGA,AwayGF,AwayGA
I1,01/09/2024,2024-2025,Fiorentina,Monza,2.0,2.0,D,1.0,2.0,A,15.0,4.0,5.0,3.0,11.0,21.0,6.0,0.0,2.0,4.0,0.0,0.0,2,1,0,-1,13,18,1,1,0,1
I1,01/09/2024,2024-2025,Genoa,Verona,0.0,2.0,A,0.0,0.0,D,11.0,10.0,1.0,3.0,8.0,16.0,3.0,1.0,2.0,6.0,0.0,0.0,4,3,1,0,7,11,3,2,3,3
I1,01/09/2024,2024-2025,Juventus,Roma,0.0,0.0,D,0.0,0.0,D,8.0,7.0,1.0,1.0,11.0,12.0,6.0,4.0,2.0,2.0,0.0,0.0,6,1,6,-1,3,18,6,0,1,2
I1,01/09/2024,2024-2025,Udinese,Como,1.0,0.0,H,1.0,0.0,H,10.0,21.0,3.0,4.0,16.0,9.0,4.0,6.0,3.0,0.0,0.0,0.0,4,1,1,-3,8,19,3,2,1,4
I1,14/09/2024,2024-2025,Como,Bologna,2.0,2.0,D,1.0,0.0,H,14.0,14.0,4.0,4.0,17.0,12.0,4.0,3.0,2.0,1.0,0.0,0.0,1,2,-4,-3,20,18,1,5,2,5
I1,14/09/2024,2024-2025,Empoli,Juventus,0.0,0.0,D,0.0,0.0,D,8.0,15.0,3.0,3.0,11.0,10.0,4.0,8.0,1.0,2.0,0.0,0.0,5,7,1,6,7,2,3,2,6,0
I1,14/09/2024,2024-2025,Milan,Venezia,4.0,0.0,H,4.0,0.0,H,12.0,6.0,8.0,1.0,12.0,12.0,6.0,1.0,1.0,3.0,0.0,1.0,2,1,-1,-3,15,20,5,6,1,4
I1,15/09/2024,2024-2025,Genoa,Roma,1.0,1.0,D,0.0,1.0,A,20.0,16.0,8.0,6.0,9.0,12.0,4.0,5.0,1.0,3.0,0.0,0.0,4,2,-1,-1,11,18,3,4,1,2
I1,15/09/2024,2024-2025,Atalanta,Fiorentina,3.0,2.0,H,3.0,2.0,H,13.0,13.0,7.0,5.0,16.0,15.0,4.0,2.0,2.0,3.0,0.0,0.0,3,3,-1,0,13,12,5,6,3,3
I1,15/09/2024,2024-2025,Torino,Lecce,0.0,0.0,D,0.0,0.0,D,5.0,20.0,0.0,6.0,13.0,13.0,2.0,7.0,1.0,3.0,0.0,0.0,7,3,2,-5,3,16,5,3,1,6
I1,15/09/2024,2024-2025,Cagliari,Napoli,0.0,4.0,A,0.0,1.0,A,16.0,12.0,3.0,5.0,22.0,11.0,7.0,4.0,1.0,2.0,0.0,0.0,2,6,-1,1,18,6,1,2,5,4
I1,15/09/2024,2024-2025,Monza,Inter,1.0,1.0,D,0.0,0.0,D,5.0,16.0,2.0,2.0,11.0,19.0,1.0,8.0,1.0,2.0,0.0,0.0,2,7,-1,6,17,4,2,3,8,2
I1,16/09/2024,2024-2025,Parma,Udinese,2.0,3.0,A,2.0,0.0,H,9.0,18.0,3.0,6.0,8.0,18.0,5.0,6.0,2.0,3.0,1.0,0.0,4,7,0,2,12,5,4,4,4,2
I1,16/09/2024,2024-2025,Lazio,Verona,2.0,1.0,H,2.0,1.0,H,14.0,7.0,7.0,2.0,13.0,10.0,9.0,6.0,2.0,2.0,0.0,0.0,4,6,1,2,11,6,6,5,5,3
I1,20/09/2024,2024-2025,Cagliari,Empoli,0.0,2.0,A,0.0,1.0,A,21.0,9.0,2.0,4.0,15.0,21.0,10.0,4.0,1.0,2.0,0.0,0.0,2,6,-5,1,19,8,1,6,3,2
I1,20/09/2024,2024-2025,Verona,Torino,2.0,3.0,A,1.0,2.0,A,8.0,16.0,2.0,3.0,10.0,8.0,5.0,6.0,3.0,1.0,1.0,0.0,6,8,1,2,8,6,6,5,5,3
I1,21/09/2024,2024-2025,Venezia,Genoa,2.0,0.0,H,0.0,0.0,D,12.0,9.0,4.0,0.0,9.0,12.0,3.0,4.0,2.0,3.0,0.0,0.0,1,5,-7,-1,20,11,1,8,4,5
I1,21/09/2024,2024-2025,Juventus,Napoli,0.0,0.0,D,0.0,0.0,D,9.0,8.0,1.0,1.0,10.0,13.0,4.0,3.0,1.0,0.0,0.0,0.0,8,9,6,5,6,3,6,0,9,4
I1,21/09/2024,2024-2025,Lecce,Parma,2.0,2.0,D,1.0,0.0,H,14.0,24.0,3.0,10.0,12.0,11.0,2.0,12.0,4.0,0.0,1.0,1.0,4,4,-5,-1,14,12,1,6,6,7
I1,22/09/2024,2024-2025,Fiorentina,Lazio,2.0,1.0,H,0.0,1.0,A,14.0,20.0,5.0,6.0,11.0,15.0,3.0,10.0,3.0,4.0,0.0,0.0,3,7,-1,2,15,7,5,6,8,6
I1,22/09/2024,2024-2025,Monza,Bologna,1.0,2.0,A,1.0,1.0,D,6.0,15.0,3.0,8.0,20.0,16.0,2.0,2.0,3.0,2.0,0.0,0.0,3,3,-1,-3,16,18,3,4,4,7
